  4   90100  1AC    24       SSMANIFO                                                  -94.76940277  26.95505833
  2   20075  1BM     3             FF  1930S  2840E     2372361.3767           136260    -90.168217    29.036154
  2   20075  2BM     3            FLR  1900S  2800E       2371977.73           136230   -90.1694179  29.03608197
  2   20476  1BM     3             KN  5879S   651E       2374126.73           140209  -90.16256696  29.04696317
  2   20476  3BM     3  KN-Flare Pile  5579S   351E       2374426.73           139909  -90.16163782   29.0461298
  1    2532  1BS    25              A  3323S  6602W          2745202           325853  -88.98971154  29.54178092
  1    1002  1BS    41              A  4380N  4600W          2743200           303200  -88.99745804  29.47961021
  1    1267  1BS    41              B  4994N  7000W          2745600           302586  -88.98995641   29.4777873
  1   22103  1BS    53              A  5708S  5358W          2699708           283788  -89.13528886  29.42860338
  1     479  1BS    53              B  6791S  5778E          2703322           284871  -89.12387316  29.43138997
  1   22103  4BS    53Flare Structure  5800S  5380W          2699730           283880  -89.13521423  29.42885517
  1   22103  2BS    53  Heater Plf #1  5700S  5300W          2699650           283780   -89.1354715  29.42858444
  1   22103  3BS    53  Heater Plf #2  5750S  5350W          2699700           283830  -89.13531146  29.42871928
  1   22958  1BS    54              A  6887N  1980E          2721870           285943    -89.065553    29.433341
  1   22958  2BS    54              B  6799N  1892E          2721958           286031    -89.065272    29.433578
  1     949  1BS    54              C  6653S  1747E          2722103           284733  -89.06489713  29.43000145
  1     641  1BS    54       CAIS.#13   450S  3930E          2719920           278530  -89.07213756  29.41306509
  1   23221  1BS    55             11  6725S  1000W          2724850           284805    -89.056265    29.430049
  1   31013  1BS    55              4    31N  5626E          2732974           292799  -89.03024656  29.45158235
  1   22923  1BS    55              C  3460N  5250W          2729100           289370    -89.042631    29.442368
  1     622  1BS    55        CAIS.#5  2548S    17E          2738583           280628  -89.01340139  29.41780761
  1   20379  1BS    55             EB  4450S  4600E          2734000           282530    -89.027673    29.423291
  1   20378  1BS    55             EC   444N  4076E          2737632           278616    -89.025404    29.450361
  1   20408  1BS    55              F   858S  6758W          2730608           278938  -89.03855089  29.41360261
  1   20453  1BS    55             FA  2302S  1875W          2725725           280382    -89.053794    29.417841
  1   20377  1BS    56              4   200N  1800E          2751550           292630    -88.971906    29.450078
  1   24164  1BS    56              8  1885S   751W          2739351           279965    -89.011032    29.415942
  1   22565  1BS    56             BD  2047N  4167E          2749183           290783     -88.97946    29.445134
  1    1485  1CA     3              A  4064N  5853W        2818219.1        480572.35   -88.7491792  29.96284109
  1    1569  1CA    13              2  1938S  5443E        2836439.2        427542.15  -88.69551018  29.81590694
  1   23070  1CA    14              A 10819N  2555W          2814921      429543.2375    -88.763206    29.822753
  1   22754  1CA    17              B  5200S  1600E       2825524.05       416046.125    -88.730744    29.784988
  1   24192  1CA    18              5   950N  6850W          2833974       424654.175    -88.703491    29.808123
  1   23068  1CA    18              A   545S  4500W          2831624       411391.125    -88.711855    29.771807
  1   31032  1CA    21              A  6677S  7295W        2878698.3           417521    -88.563055  29.78561486
  1   23466  1CA    22              A  2013S  6903W       2878301.05        398101.05    -88.565785    29.732252
  1   23460  1CA    24              A  3496S  5152E       2851488.05      399584.0625    -88.650133    29.738082
  1   22753  1CA    25              A   609N  5496W          2832620      410237.1125      -88.7088    29.768572
  1   22753  2CA    25              C   543N  5634W          2832758      410303.1125     -88.70836    29.768745
  1    1428  1CA    26              D  3930N  6560W        2818926.1         406916.1  -88.75218615  29.76029707
  1    1352  1CA    27             #2  4848S  5550W       2803158.05        400936.05   -88.8022849  29.74482328
  1    1551  1CA    29              3  5690S  4982W       2802590.05           387020  -88.80504175  29.70659803
  1   23076  1CA    29              A  4877N  7573W          2805181        391211.05     -88.79659    29.717963
  1   23076  2CA    29              B  5069N  7397W       2805005.05        391019.05  -88.79715781  29.71744597
