Name,Latitude,Longitude,Latitude_DMS,Longitude_DMS,Type
Cheeca Rocks,24.90433 N,80.60918 W,"24° 54' 15.59"" N","80° 36' 33.05"" W",Rock
Cheeca Rocks NE,25.2383 N,80.2626 W,"25° 14' 17.88"" N","80° 15' 45.36"" W",Rock
Chemical Courier Barge,30.09953 N,87.18128 W,"30° 5' 58.31"" N","87° 10' 52.61"" W",Reef
Chepanoc Starfish Reef,30.14723 N,86.62687 W,"30° 8' 50.03"" N","86° 37' 36.73"" W",Reef
Cherokee,38.59583 N,74.65017 W,"38° 35' 44.99"" N","74° 39' 0.61"" W",Wreck
Cherrystone Reef,37.3175 N,76.04611 W,"37° 19' 3.0"" N","76° 2' 46.0"" W",Reef
Chester E Poling Wreck,42.57361 N,70.67 W,"42° 34' 25.0"" N","70° 40' 12.0"" W",Wreck
Chevron,26.12333 N,80.07583 W,"26° 7' 23.99"" N","80° 4' 32.99"" W",Structure
Chevron / Rodeo,26.17575 N,80.04696 W,"26° 10' 32.7"" N","80° 2' 49.06"" W",Structure
Chevron Platform,30.07067 N,87.03533 W,"30° 4' 14.41"" N","87° 2' 7.19"" W",Platform
Chevron Storage Tanks,25.66733 N,80.0705 W,"25° 40' 2.39"" N","80° 4' 13.8"" W",Structure
Chevron Tanks,26.19183 N,80.05183 W,"26° 11' 30.59"" N","80° 3' 6.59"" W",Structure
Chevron Vessel,30.16558 N,88.75003 W,"30° 9' 56.09"" N","88° 45' 0.11"" W",Structure
Chew Hole,29.9084 N,87.22022 W,"29° 54' 30.24"" N","87° 13' 12.79"" W",Hole
Chickasaw Tug,30.08218 N,85.77952 W,"30° 4' 55.85"" N","85° 46' 46.27"" W",Structure
Chicken Canyon,39.87333 N,73.05833 W,"39° 52' 23.99"" N","73° 3' 29.99"" W",Canyon
Chicken Ledge,28.18812 N,83.27145 W,"28° 11' 17.23"" N","83° 16' 17.22"" W",Ledge
Chicken Ledge,40.90223 N,73.73311 W,"40° 54' 8.03"" N","73° 43' 59.2"" W",Ledge
Chicken Rock,34.62003 N,76.16684 W,"34° 37' 12.11"" N","76° 10' 0.62"" W",Rock
Chickn Rock,34.61746 N,76.16279 W,"34° 37' 2.86"" N","76° 9' 46.04"" W",Rock
Childress Oyster Reef,29.51325 N,94.7887 W,"29° 30' 47.7"" N","94° 47' 19.32"" W",Reef
Chimney Corner Reef,41.23932 N,72.70535 W,"41° 14' 21.55"" N","72° 42' 19.26"" W",Reef
