id,name,lat,lng,type
6751,Tank,29.94457,-87.72557,Structure
6752,Tank,29.95565,-88.09975,Structure
6753,Tank,29.95793,-87.7596,Structure
6754,Tank,29.96117,-87.72742,Structure
6755,Tank,29.96759,-87.63189,Structure
6756,Tank,29.97308,-87.77368,Structure
6757,Tank,29.97457,-88.00947,Structure
6758,Tank,29.97753,-87.72857,Structure
6759,Tank,29.99403,-87.76222,Structure
6760,Tank,29.99525,-87.72985,Structure
6761,Tank,29.99922,-87.62802,Structure
6762,Tank,30.01152,-87.73185,Structure
6763,Tank,30.1523,-87.23465,Structure
6764,Tank,30.15658,-87.23933,Structure
6765,Tank Removed,28.95452,-90.96598,Structure
6766,Tank 102 A,30.00863,-88.00245,Structure
6767,Tank 102 A,30.00881,-88.00026,Structure
6768,Tank 3 Cars,30.16245,-87.2389,Structure
6769,Tank 70 B,29.93965,-87.75797,Structure
6770,Tank 74 B,29.97815,-87.7766,Structure
6771,Tank 76 B,29.93033,-87.68958,Structure
6772,Tank 77 B,29.93192,-87.66463,Structure
6773,Tank 78 A,29.93375,-87.62375,Structure
6774,Tank 78 C,29.93383,-87.62233,Structure
6775,Tank 81 C,29.85208,-87.61562,Structure
6776,Tank 82 A,29.8538,-87.57227,Structure
6777,Tank 82 B,29.85508,-87.57242,Structure
6778,Tank 85 A,30.01408,-87.66975,Structure
6779,Tank 85 B,30.01367,-87.67058,Structure
6780,Tank 86 B,30.01583,-87.62975,Structure
6781,Tank 88 B,30.01642,-87.58808,Structure
6782,Tank 89 A,30.03272,-87.56625,Structure
6783,Tank 90 A,30.06542,-87.56975,Structure
6784,Tank 90 C,30.0643,-87.57038,Structure
6785,Tank 93 A,29.99855,-87.69935,Structure
6786,Tank 94 B,29.97141,-88.07456,Structure
6787,Tank 94 A,29.97172,-88.07643,Structure
6788,Tank 95 A/B,29.9893,-88.10393,Structure
6789,Tank 96 A,30.0107,-88.11363,Structure
6790,Tank 97 A,29.97242,-88.09807,Structure
6791,Tank 97 B,29.97258,-88.09347,Structure
6792,Tank 99 A,29.9901,-88.11498,Structure
6793,Tank Broz A/B,30.00513,-88.03005,Structure
6794,Tank Reef Site,29.97307,-88.09885,Structure
6795,Tank Reef Site,29.98038,-87.77712,Structure
6796,Tank Reef Site,29.98948,-88.10568,Structure
6797,Tank Reef Site,30.01083,-88.1147,Structure
6798,Tank Sims A,30.00493,-88.0351,Structure
6799,Tank Turrets,30.15673,-86.81793,Structure
6800,Tank B,30.07433,-90.23012,Structure
6801,Tanker,34.17461,-77.74789,Structure
6802,Tanker,40.38667,-72.35833,Structure
6803,Tanker 5277 GT,27.00417,-80.086,Structure
6804,Tanker 5287 GT,27.05833,-80.04167,Structure
6805,Tanker Wreck,24.69017,-80.85667,Structure
6806,Tankreef At 8 A,37.83565,-75.25303,Structure
6807,Tanks Culverts,29.96267,-87.2095,Structure
6808,Tanks Culverts,29.9661,-87.2076,Structure
6809,Tarantula Wreck,40.30012,-73.26598,Reef
6810,Target Rock,40.93046,-73.4279,Reef
6811,Tarpon,30.09503,-85.94258,Reef
6812,Tarpon Hole,24.8945,-80.56822,Reef
6813,Tarpon Ledge,26.71224,-82.26291,Reef
6814,Tarpon Springs Reef,28.1375,-82.93017,Reef
6815,Tarpon Springs Reef,28.14202,-82.93523,Reef
6816,Tarpon Springs Reef,28.13522,-82.9325,Reef
6817,Tarpon Springs Reef,28.14038,-82.93087,Reef
6818,Tarpon Springs Reef Concrete,27.79393,-82.89512,Reef
6819,Tarponhole,26.81858,-82.09995,Reef
6820,Tarpoon,25.62192,-80.09097,Reef
6821,Tavers Hump,29.55345,-84.02959,Hump
6822,Taylor Memorial Reef,30.34048,-86.43065,Reef
