name,type,category,region,latitude,longitude
Kingfish Hole,Hole,Holes,Florida to California,27.12238,-80.13103
Kingfish Hole,Hole,Holes,Florida to California,29.04495,-83.17455
Kingfish Hole Playground,Hole,Holes,Florida to California,27.12667,-80.12000
Lighthouse Hole,Hole,Holes,Florida to California,26.71127,-82.26516
Lobster Hole,Hole,Holes,Florida to California,29.94333,-87.44833
Lobster Hole,Hole,Holes,Florida to California,30.25310,-86.23160
Loran Tower Hole,Hole,Holes,Florida to California,27.03133,-80.08303
Mango Hole,Hole,Holes,Florida to California,29.30383,-80.38388
Mango Hole,Hole,Holes,Florida to California,29.30450,-80.38867
Mango Hole N W,Hole,Holes,Florida to California,29.31917,-80.40188
Manholes,Hole,Holes,Florida to California,30.05530,-88.61367
Manholes 0,Hole,Holes,Florida to California,30.05205,-88.60578
Mckays Hole,Hole,Holes,Florida to California,29.91667,-87.19833
Mckays Hole,Hole,Holes,Florida to California,30.20000,-87.15733
Middle Hole,Hole,Holes,Florida to California,25.53333,-79.83750
Middlehole,Hole,Holes,Florida to California,26.82558,-82.10730
Mikes Snapper Hole,Hole,Holes,Florida to California,30.16557,-88.26115
Mikeys Hole,Hole,Holes,Florida to California,26.43553,-80.05335
Mikeys Snapper Hole,Hole,Holes,Florida to California,27.45703,-80.14626
Miles Hole,Hole,Holes,Florida to California,27.80133,-82.86217
Mingo Hole Coral GPS,Hole,Holes,Florida to California,30.18350,-87.15650
Mislle Sinkhole,Hole,Holes,Florida to California,29.42822,-80.33098
Missle Hole,Hole,Holes,Florida to California,29.42900,-80.33000
Molasses Hole,Hole,Holes,Florida to California,25.00558,-80.37521
Monty Hole,Hole,Holes,Florida to California,29.91833,-87.19667
Mud Hole,Hole,Holes,Florida to California,26.24613,-82.01062
Naples Fish Hole,Hole,Holes,Florida to California,26.14713,-82.05825
Naples Mud Hole,Hole,Holes,Florida to California,26.26213,-82.01813
Naples Snapper Hole,Hole,Holes,Florida to California,26.06518,-82.09207
NE Hole,Hole,Holes,Florida to California,30.46090,-81.26182
Nine Mile East Grouper Hole,Hole,Holes,Florida to California,30.39217,-81.11500
North Hole,Hole,Holes,Florida to California,24.87930,-80.59142
North Hole,Hole,Holes,Florida to California,25.62083,-79.80417
North Hole,Hole,Holes,Florida to California,25.71250,-79.78750
P Hole,Hole,Holes,Florida to California,29.85363,-80.48642
PB Sword Hole,Hole,Holes,Florida to California,26.11570,-79.82740
Port Orange Hole,Hole,Holes,Florida to California,29.17810,-80.21372
Pothole,Hole,Holes,Florida to California,29.75510,-80.45723
Push Button Hole,Hole,Holes,Florida to California,27.17397,-79.96255
Push Button Hole,Hole,Holes,Florida to California,27.19583,-79.96800
RAT Hole,Hole,Holes,Florida to California,30.18845,-87.23888
RAY Hole Submerged Spring,Hole,Holes,Florida to California,29.75250,-84.03717
Rays Edge Hole,Hole,Holes,Florida to California,30.06667,-86.97500
Ricky Rays Hole,Hole,Holes,Florida to California,30.23700,-87.30917
RIP Hole,Hole,Holes,Florida to California,30.16690,-87.08157
Rodneys Hole,Hole,Holes,Florida to California,27.25928,-82.79045
Rodneys Hole,Hole,Holes,Florida to California,27.26510,-82.79030
Rodneys Snapper Hole,Hole,Holes,Florida to California,26.71733,-82.43121
Rons Hole,Hole,Holes,Florida to California,30.06833,-86.99500
RW Hole South,Hole,Holes,Florida to California,29.18490,-80.38170
Shallow Hole,Hole,Holes,Florida to California,30.47963,-81.21360
Sink Hole The,Hole,Holes,Florida to California,26.19783,-80.07433
Slobodna Winch Hole,Hole,Holes,Florida to California,25.33940,-80.16573
Small Hole,Hole,Holes,Florida to California,28.56315,-94.49997
Small Hole,Hole,Holes,Florida to California,30.28197,-80.49837
Snap Hole,Hole,Holes,Florida to California,27.18550,-82.87017
Snapper Hole,Hole,Holes,Florida to California,28.39340,-95.02197
Snapper Hole,Hole,Holes,Florida to California,30.18517,-87.15733
Snapper Hole,Hole,Holes,Florida to California,30.39999,-80.30142
South Hole,Hole,Holes,Florida to California,25.47717,-79.86333
South Hole,Hole,Holes,Florida to California,30.10328,-86.33528
Southeast 16 And 17 19 Fathom Hole,Hole,Holes,Florida to California,30.25650,-80.97117
Spring Hole,Hole,Holes,Florida to California,26.26394,-82.01743
State Line Hole,Hole,Holes,Florida to California,30.25248,-86.65777
Susie S Red Snapper Hole,Hole,Holes,Florida to California,27.79493,-83.79095
Susies Fishing Hole,Hole,Holes,Florida to California,28.62795,-80.32761
Swordfish Hole,Hole,Holes,Florida to California,26.15000,-79.92083
Swordfish Hole,Hole,Holes,Florida to California,26.19167,-79.86250
The Fish Holes,Hole,Holes,Florida to California,28.79050,-79.98667
The North Hole,Hole,Holes,Florida to California,24.85817,-80.58827
The Sink Hole,Hole,Holes,Florida to California,29.87208,-79.94990
The Ten Three Hole,Hole,Holes,Florida to California,29.05767,-83.30317
Tile Hole,Hole,Holes,Florida to California,26.23500,-79.89167
Timber Hole,Hole,Holes,Florida to California,30.12513,-87.02718
Timber Hole,Hole,Holes,Florida to California,30.15482,-86.96467
Timber Hole,Hole,Holes,Florida to California,30.15500,-86.83667
Timber Hole,Hole,Holes,Florida to California,30.15815,-86.95493
Timber Hole,Hole,Holes,Florida to California,30.16018,-86.90823
Timber Hole,Hole,Holes,Florida to California,30.16348,-86.89138
